#Mouth boundary - rescaled Littlehampton tidal levels
#Imposed tidal water level
#
T          SL(1)
s          m 
    33780.00   2.653066
    33840.00   2.652025
    33900.00   2.651000
    33960.00   2.649994
    34020.00   2.648987
    34080.00   2.647956
    34140.00   2.646876
    34200.00   2.645722
    34260.00   2.644470
    34320.00   2.643097
    34380.00   2.641577
    34440.00   2.639886
    34500.00   2.638000
    34560.00   2.635898
    34620.00   2.633577
    34680.00   2.631034
    34740.00   2.628270
    34800.00   2.625284
    34860.00   2.622075
    34920.00   2.618643
    34980.00   2.614987
    35040.00   2.611106
    35100.00   2.607000
    35160.00   2.602669
    35220.00   2.598114
    35280.00   2.593340
    35340.00   2.588348
    35400.00   2.583143
    35460.00   2.577725
    35520.00   2.572099
    35580.00   2.566268
    35640.00   2.560234
    35700.00   2.554000
    35760.00   2.547568
    35820.00   2.540934
    35880.00   2.534093
    35940.00   2.527040
    36000.00   2.519771
    36060.00   2.512280
    36120.00   2.504562
    36180.00   2.496613
    36240.00   2.488427
    36300.00   2.480000
    36360.00   2.471328
    36420.00   2.462415
    36480.00   2.453265
    36540.00   2.443883
    36600.00   2.434274
    36660.00   2.424444
    36720.00   2.414396
    36780.00   2.404136
    36840.00   2.393669
    36900.00   2.383000
    36960.00   2.372140
    37020.00   2.361128
    37080.00   2.350009
    37140.00   2.338829
    37200.00   2.327633
    37260.00   2.316466
    37320.00   2.305374
    37380.00   2.294402
    37440.00   2.283595
    37500.00   2.273000
    37560.00   2.262638
    37620.00   2.252442
    37680.00   2.242322
    37740.00   2.232186
    37800.00   2.221946
    37860.00   2.211509
    37920.00   2.200787
    37980.00   2.189688
    38040.00   2.178123
    38100.00   2.166000
    38160.00   2.153255
    38220.00   2.139920
    38280.00   2.126054
    38340.00   2.111714
    38400.00   2.096960
    38460.00   2.081849
    38520.00   2.066440
    38580.00   2.050789
    38640.00   2.034957
    38700.00   2.019000
    38760.00   2.002965
    38820.00   1.986847
    38880.00   1.970631
    38940.00   1.954300
    39000.00   1.937839
    39060.00   1.921230
    39120.00   1.904458
    39180.00   1.887506
    39240.00   1.870359
    39300.00   1.853000
    39360.00   1.835419
    39420.00   1.817628
    39480.00   1.799646
    39540.00   1.781493
    39600.00   1.763186
    39660.00   1.744744
    39720.00   1.726185
    39780.00   1.707530
    39840.00   1.688795
    39900.00   1.670000
    39960.00   1.651159
    40020.00   1.632265
    40080.00   1.613309
    40140.00   1.594281
    40200.00   1.575169
    40260.00   1.555964
    40320.00   1.536654
    40380.00   1.517231
    40440.00   1.497683
    40500.00   1.478000
    40560.00   1.458174
    40620.00   1.438208
    40680.00   1.418106
    40740.00   1.397873
    40800.00   1.377514
    40860.00   1.357034
    40920.00   1.336438
    40980.00   1.315730
    41040.00   1.294916
    41100.00   1.274000
    41160.00   1.252987
    41220.00   1.231880
    41280.00   1.210681
    41340.00   1.189395
    41400.00   1.168024
    41460.00   1.146571
    41520.00   1.125039
    41580.00   1.103432
    41640.00   1.081751
    41700.00   1.060000
    41760.00   1.038186
    41820.00   1.016330
    41880.00   0.994458
    41940.00   0.972594
    42000.00   0.950764
    42060.00   0.928992
    42120.00   0.907305
    42180.00   0.885727
    42240.00   0.864284
    42300.00   0.843000
    42360.00   0.821892
    42420.00   0.800936
    42480.00   0.780102
    42540.00   0.759358
    42600.00   0.738672
    42660.00   0.718012
    42720.00   0.697346
    42780.00   0.676643
    42840.00   0.655872
    42900.00   0.635000
    42960.00   0.614003
    43020.00   0.592885
    43080.00   0.571659
    43140.00   0.550335
    43200.00   0.528925
    43260.00   0.507442
    43320.00   0.485896
    43380.00   0.464299
    43440.00   0.442663
